inst#,actual,predicted,error,distribution,
1614,1:normal.,1:normal.,,*0.994,0.006
1615,1:normal.,1:normal.,,*0.995,0.005
1616,1:normal.,1:normal.,,*1,0
1617,1:normal.,1:normal.,,*0.994,0.006
1618,1:normal.,1:normal.,,*0.994,0.006
1619,1:normal.,1:normal.,,*0.985,0.015
1620,1:normal.,1:normal.,,*1,0
1621,1:normal.,1:normal.,,*1,0
1622,1:normal.,1:normal.,,*0.993,0.007
1623,1:normal.,1:normal.,,*0.994,0.006
1624,1:normal.,1:normal.,,*1,0
1625,1:normal.,1:normal.,,*0.994,0.006
1626,1:normal.,1:normal.,,*0.993,0.007
1627,1:normal.,1:normal.,,*0.995,0.005
1628,1:normal.,1:normal.,,*0.995,0.005
1629,1:normal.,1:normal.,,*1,0
1630,1:normal.,1:normal.,,*0.994,0.006
1631,1:normal.,1:normal.,,*0.995,0.005
1632,1:normal.,1:normal.,,*0.998,0.002
1633,1:normal.,1:normal.,,*0.996,0.004
1634,1:normal.,1:normal.,,*0.993,0.007
1635,1:normal.,1:normal.,,*0.994,0.006
1636,1:normal.,1:normal.,,*0.999,0.001
1637,1:normal.,1:normal.,,*1,0
1638,1:normal.,1:normal.,,*0.993,0.007
1639,1:normal.,1:normal.,,*0.993,0.007
1640,1:normal.,1:normal.,,*0.996,0.004
1641,1:normal.,1:normal.,,*0.997,0.003
1642,1:normal.,1:normal.,,*1,0
1643,1:normal.,1:normal.,,*1,0
1644,1:normal.,1:normal.,,*0.994,0.006
1645,1:normal.,1:normal.,,*1,0
1646,1:normal.,1:normal.,,*1,0
1647,1:normal.,1:normal.,,*0.998,0.002
1648,1:normal.,1:normal.,,*1,0
1649,1:normal.,1:normal.,,*1,0
1650,1:normal.,1:normal.,,*0.999,0.001
1651,1:normal.,1:normal.,,*0.997,0.003
1652,1:normal.,1:normal.,,*0.994,0.006
1653,1:normal.,1:normal.,,*1,0
1654,1:normal.,1:normal.,,*1,0
1655,1:normal.,1:normal.,,*0.993,0.007
1656,1:normal.,1:normal.,,*1,0
1657,1:normal.,1:normal.,,*0.994,0.006
1658,1:normal.,1:normal.,,*0.993,0.007
1659,1:normal.,1:normal.,,*0.993,0.007
1660,1:normal.,1:normal.,,*0.995,0.005
1661,1:normal.,1:normal.,,*1,0
1662,1:normal.,1:normal.,,*0.993,0.007
1663,1:normal.,1:normal.,,*0.997,0.003
1664,1:normal.,1:normal.,,*0.993,0.007
1665,1:normal.,1:normal.,,*0.997,0.003
1666,1:normal.,1:normal.,,*0.972,0.028
1667,1:normal.,1:normal.,,*0.995,0.005
1668,1:normal.,1:normal.,,*0.994,0.006
1669,1:normal.,1:normal.,,*0.993,0.007
1670,1:normal.,1:normal.,,*0.993,0.007
1671,1:normal.,1:normal.,,*0.993,0.007
1672,1:normal.,1:normal.,,*0.994,0.006
1673,1:normal.,1:normal.,,*0.998,0.002
1674,1:normal.,1:normal.,,*1,0
1675,1:normal.,1:normal.,,*0.994,0.006
1676,1:normal.,1:normal.,,*0.995,0.005
1677,1:normal.,1:normal.,,*0.994,0.006
1678,1:normal.,1:normal.,,*0.993,0.007
1679,1:normal.,1:normal.,,*0.995,0.005
1680,1:normal.,1:normal.,,*0.999,0.001
1681,1:normal.,1:normal.,,*0.993,0.007
1682,1:normal.,1:normal.,,*1,0
1683,1:normal.,1:normal.,,*1,0
1684,1:normal.,1:normal.,,*0.994,0.006
1685,1:normal.,1:normal.,,*1,0
1686,1:normal.,1:normal.,,*0.994,0.006
1687,1:normal.,1:normal.,,*0.994,0.006
1688,1:normal.,1:normal.,,*0.999,0.001
1689,1:normal.,1:normal.,,*1,0
1690,1:normal.,1:normal.,,*0.994,0.006
1691,1:normal.,1:normal.,,*1,0
1692,1:normal.,1:normal.,,*0.996,0.004
1693,1:normal.,1:normal.,,*0.994,0.006
1694,1:normal.,1:normal.,,*0.998,0.002
1695,1:normal.,1:normal.,,*0.995,0.005
1696,1:normal.,1:normal.,,*0.994,0.006
1697,1:normal.,1:normal.,,*0.999,0.001
1698,1:normal.,1:normal.,,*0.994,0.006
1699,1:normal.,1:normal.,,*0.999,0.001
1700,1:normal.,1:normal.,,*0.995,0.005
1701,1:normal.,1:normal.,,*0.995,0.005
1702,1:normal.,1:normal.,,*0.995,0.005
1703,1:normal.,1:normal.,,*0.994,0.006
1704,1:normal.,1:normal.,,*0.997,0.003
1705,1:normal.,1:normal.,,*0.993,0.007
1706,1:normal.,1:normal.,,*0.994,0.006
1707,1:normal.,1:normal.,,*0.995,0.005
1708,1:normal.,1:normal.,,*0.999,0.001
1709,1:normal.,1:normal.,,*0.994,0.006
1710,1:normal.,1:normal.,,*1,0
1711,1:normal.,1:normal.,,*1,0
1712,1:normal.,1:normal.,,*0.997,0.003
1713,1:normal.,1:normal.,,*0.997,0.003
1714,1:normal.,1:normal.,,*0.994,0.006
1715,1:normal.,1:normal.,,*0.993,0.007
1716,1:normal.,1:normal.,,*0.993,0.007
1717,1:normal.,2:attack,+,0.337,*0.663
1718,1:normal.,1:normal.,,*1,0
1719,1:normal.,1:normal.,,*1,0
1720,1:normal.,1:normal.,,*0.993,0.007
1721,1:normal.,1:normal.,,*1,0
1722,1:normal.,1:normal.,,*1,0
1723,1:normal.,1:normal.,,*1,0
1724,1:normal.,1:normal.,,*0.994,0.006
1725,1:normal.,1:normal.,,*0.994,0.006
1726,1:normal.,1:normal.,,*0.996,0.004
1727,1:normal.,1:normal.,,*0.994,0.006
1728,1:normal.,1:normal.,,*0.635,0.365
1729,1:normal.,1:normal.,,*0.999,0.001
1730,1:normal.,1:normal.,,*0.999,0.001
1731,1:normal.,1:normal.,,*0.999,0.001
1732,1:normal.,1:normal.,,*0.999,0.001
1733,1:normal.,1:normal.,,*0.994,0.006
1734,1:normal.,1:normal.,,*1,0
1735,1:normal.,1:normal.,,*0.993,0.007
1736,1:normal.,1:normal.,,*1,0
1737,1:normal.,1:normal.,,*1,0
1738,1:normal.,1:normal.,,*0.999,0.001
1739,1:normal.,1:normal.,,*0.994,0.006
1740,1:normal.,1:normal.,,*1,0
1741,1:normal.,1:normal.,,*0.997,0.003
1742,1:normal.,1:normal.,,*0.993,0.007
1743,1:normal.,1:normal.,,*0.996,0.004
1744,1:normal.,1:normal.,,*1,0
1745,1:normal.,1:normal.,,*0.993,0.007
1746,1:normal.,1:normal.,,*0.995,0.005
1747,1:normal.,1:normal.,,*1,0
1748,1:normal.,1:normal.,,*0.994,0.006
1749,1:normal.,1:normal.,,*0.994,0.006
1750,1:normal.,1:normal.,,*1,0
1751,1:normal.,1:normal.,,*0.994,0.006
1752,1:normal.,1:normal.,,*0.999,0.001
1753,1:normal.,1:normal.,,*1,0
1754,1:normal.,1:normal.,,*0.995,0.005
1755,1:normal.,1:normal.,,*0.998,0.002
1756,1:normal.,1:normal.,,*0.994,0.006
1757,1:normal.,1:normal.,,*0.997,0.003
1758,1:normal.,1:normal.,,*0.994,0.006
1759,1:normal.,1:normal.,,*0.994,0.006
1760,1:normal.,1:normal.,,*0.999,0.001
1761,1:normal.,1:normal.,,*1,0
1762,1:normal.,1:normal.,,*0.994,0.006
1763,1:normal.,1:normal.,,*0.993,0.007
1764,1:normal.,1:normal.,,*0.997,0.003
1765,1:normal.,1:normal.,,*0.994,0.006
1766,1:normal.,1:normal.,,*0.993,0.007
1767,1:normal.,1:normal.,,*1,0
1768,1:normal.,1:normal.,,*0.993,0.007
1769,1:normal.,1:normal.,,*0.999,0.001
1770,1:normal.,1:normal.,,*0.993,0.007
1771,1:normal.,1:normal.,,*0.994,0.006
1772,1:normal.,1:normal.,,*0.993,0.007
1773,1:normal.,1:normal.,,*1,0
1774,1:normal.,1:normal.,,*0.997,0.003
1775,1:normal.,1:normal.,,*0.993,0.007
1776,1:normal.,1:normal.,,*1,0
1777,1:normal.,1:normal.,,*1,0
1778,1:normal.,1:normal.,,*1,0
1779,1:normal.,1:normal.,,*0.994,0.006
1780,1:normal.,1:normal.,,*0.999,0.001
1781,1:normal.,1:normal.,,*0.997,0.003
1782,1:normal.,1:normal.,,*0.993,0.007
1783,1:normal.,1:normal.,,*0.994,0.006
1784,1:normal.,1:normal.,,*1,0
1785,1:normal.,1:normal.,,*0.999,0.001
1786,1:normal.,1:normal.,,*0.993,0.007
1787,1:normal.,1:normal.,,*0.995,0.005
1788,1:normal.,1:normal.,,*0.993,0.007
1789,1:normal.,1:normal.,,*0.997,0.003
1790,1:normal.,1:normal.,,*0.993,0.007
1791,1:normal.,1:normal.,,*0.994,0.006
1792,1:normal.,1:normal.,,*1,0
1793,1:normal.,1:normal.,,*0.999,0.001
1794,1:normal.,1:normal.,,*1,0
1795,1:normal.,1:normal.,,*1,0
1796,1:normal.,1:normal.,,*0.994,0.006
1797,1:normal.,1:normal.,,*0.999,0.001
1798,1:normal.,1:normal.,,*1,0
1799,1:normal.,1:normal.,,*0.993,0.007
1800,1:normal.,1:normal.,,*0.999,0.001
1801,1:normal.,1:normal.,,*1,0
1802,1:normal.,1:normal.,,*0.994,0.006
1803,1:normal.,1:normal.,,*1,0
1804,1:normal.,1:normal.,,*1,0
1805,1:normal.,1:normal.,,*0.997,0.003
1806,1:normal.,1:normal.,,*0.994,0.006
1807,1:normal.,1:normal.,,*1,0
1808,1:normal.,1:normal.,,*1,0
1809,1:normal.,1:normal.,,*0.996,0.004
1810,1:normal.,1:normal.,,*0.994,0.006
1811,1:normal.,1:normal.,,*1,0
1812,1:normal.,1:normal.,,*0.999,0.001
1813,1:normal.,1:normal.,,*0.993,0.007
1814,1:normal.,1:normal.,,*1,0
1815,1:normal.,1:normal.,,*0.993,0.007
1816,1:normal.,1:normal.,,*1,0
1817,1:normal.,1:normal.,,*0.995,0.005
1818,1:normal.,1:normal.,,*1,0
1819,1:normal.,1:normal.,,*0.994,0.006
1820,1:normal.,1:normal.,,*1,0
1821,1:normal.,1:normal.,,*0.994,0.006
1822,1:normal.,1:normal.,,*0.998,0.002
1823,1:normal.,1:normal.,,*1,0
1824,1:normal.,1:normal.,,*0.999,0.001
1825,1:normal.,1:normal.,,*0.993,0.007
1826,1:normal.,1:normal.,,*0.994,0.006
1827,1:normal.,1:normal.,,*0.995,0.005
1828,1:normal.,1:normal.,,*1,0
1829,1:normal.,1:normal.,,*0.996,0.004
1830,1:normal.,1:normal.,,*0.993,0.007
1831,1:normal.,1:normal.,,*1,0
1832,1:normal.,1:normal.,,*0.993,0.007
1833,1:normal.,1:normal.,,*0.995,0.005
1834,1:normal.,1:normal.,,*1,0
1835,1:normal.,1:normal.,,*0.998,0.002
1836,1:normal.,1:normal.,,*0.998,0.002
1837,1:normal.,1:normal.,,*0.993,0.007
1838,1:normal.,1:normal.,,*0.996,0.004
1839,1:normal.,1:normal.,,*1,0
1840,1:normal.,1:normal.,,*0.999,0.001
1841,1:normal.,1:normal.,,*1,0
1842,1:normal.,1:normal.,,*0.995,0.005
1843,1:normal.,1:normal.,,*1,0
1844,1:normal.,1:normal.,,*1,0
1845,1:normal.,1:normal.,,*0.993,0.007
1846,1:normal.,1:normal.,,*1,0
1847,1:normal.,1:normal.,,*0.997,0.003
1848,1:normal.,1:normal.,,*0.994,0.006
1849,1:normal.,1:normal.,,*0.999,0.001
1850,1:normal.,1:normal.,,*0.999,0.001
1851,1:normal.,1:normal.,,*0.994,0.006
1852,1:normal.,1:normal.,,*0.994,0.006
1853,1:normal.,1:normal.,,*1,0
1854,1:normal.,1:normal.,,*1,0
1855,1:normal.,1:normal.,,*0.993,0.007
1856,1:normal.,1:normal.,,*0.994,0.006
1857,1:normal.,1:normal.,,*1,0
1858,1:normal.,1:normal.,,*0.998,0.002
1859,1:normal.,1:normal.,,*0.993,0.007
1860,1:normal.,1:normal.,,*0.994,0.006
1861,1:normal.,1:normal.,,*0.994,0.006
1862,1:normal.,1:normal.,,*0.994,0.006
1863,1:normal.,1:normal.,,*1,0
1864,1:normal.,1:normal.,,*0.994,0.006
1865,1:normal.,1:normal.,,*1,0
1866,1:normal.,1:normal.,,*0.994,0.006
1867,1:normal.,1:normal.,,*0.995,0.005
1868,1:normal.,1:normal.,,*0.93,0.07
1869,1:normal.,1:normal.,,*0.999,0.001
1870,1:normal.,1:normal.,,*0.994,0.006
1871,1:normal.,1:normal.,,*0.993,0.007
1872,1:normal.,1:normal.,,*0.999,0.001
1873,1:normal.,1:normal.,,*0.999,0.001
1874,1:normal.,1:normal.,,*0.999,0.001
1875,1:normal.,1:normal.,,*0.994,0.006
1876,1:normal.,1:normal.,,*0.999,0.001
1877,1:normal.,1:normal.,,*0.996,0.004
1878,1:normal.,1:normal.,,*1,0
1879,1:normal.,1:normal.,,*0.999,0.001
1880,1:normal.,1:normal.,,*0.999,0.001
1881,1:normal.,1:normal.,,*0.993,0.007
1882,1:normal.,1:normal.,,*0.994,0.006
1883,1:normal.,1:normal.,,*0.998,0.002
1884,1:normal.,1:normal.,,*0.999,0.001
1885,1:normal.,1:normal.,,*0.994,0.006
1886,1:normal.,1:normal.,,*1,0
1887,1:normal.,1:normal.,,*0.999,0.001
1888,1:normal.,1:normal.,,*0.999,0.001
1889,1:normal.,1:normal.,,*0.993,0.007
1890,1:normal.,1:normal.,,*0.995,0.005
1891,1:normal.,1:normal.,,*1,0
1892,1:normal.,1:normal.,,*0.988,0.012
1893,1:normal.,1:normal.,,*0.994,0.006
1894,1:normal.,1:normal.,,*0.993,0.007
1895,1:normal.,1:normal.,,*0.995,0.005
1896,1:normal.,1:normal.,,*0.995,0.005
1897,1:normal.,1:normal.,,*0.994,0.006
1898,1:normal.,1:normal.,,*0.994,0.006
1899,1:normal.,1:normal.,,*0.994,0.006
1900,1:normal.,1:normal.,,*0.999,0.001
1901,1:normal.,1:normal.,,*1,0
1902,1:normal.,1:normal.,,*0.993,0.007
1903,1:normal.,1:normal.,,*0.986,0.014
1904,1:normal.,1:normal.,,*0.993,0.007
1905,1:normal.,1:normal.,,*0.995,0.005
1906,1:normal.,1:normal.,,*0.999,0.001
1907,1:normal.,1:normal.,,*0.993,0.007
1908,1:normal.,1:normal.,,*0.993,0.007
1909,1:normal.,1:normal.,,*0.994,0.006
1910,1:normal.,1:normal.,,*0.994,0.006
1911,1:normal.,1:normal.,,*1,0
1912,1:normal.,1:normal.,,*0.994,0.006
1913,1:normal.,1:normal.,,*0.999,0.001
1914,1:normal.,1:normal.,,*1,0
1915,1:normal.,1:normal.,,*0.994,0.006
1916,1:normal.,1:normal.,,*1,0
1917,1:normal.,1:normal.,,*1,0
1918,1:normal.,1:normal.,,*0.999,0.001
1919,1:normal.,1:normal.,,*0.995,0.005
1920,1:normal.,1:normal.,,*1,0
1921,1:normal.,1:normal.,,*0.993,0.007
1922,1:normal.,1:normal.,,*0.994,0.006
1923,1:normal.,1:normal.,,*0.994,0.006
1924,1:normal.,1:normal.,,*1,0
1925,1:normal.,1:normal.,,*0.999,0.001
1926,1:normal.,1:normal.,,*0.993,0.007
1927,1:normal.,1:normal.,,*0.994,0.006
1928,1:normal.,1:normal.,,*0.999,0.001
1929,1:normal.,1:normal.,,*1,0
1930,1:normal.,1:normal.,,*1,0
1931,1:normal.,1:normal.,,*1,0
1932,1:normal.,1:normal.,,*0.996,0.004
1933,1:normal.,1:normal.,,*1,0
1934,1:normal.,1:normal.,,*0.999,0.001
1935,1:normal.,1:normal.,,*0.886,0.114
1936,1:normal.,1:normal.,,*0.999,0.001
1937,1:normal.,1:normal.,,*0.994,0.006
1938,1:normal.,1:normal.,,*0.994,0.006
1939,1:normal.,1:normal.,,*1,0
1940,1:normal.,1:normal.,,*0.994,0.006
1941,1:normal.,1:normal.,,*0.999,0.001
1942,1:normal.,1:normal.,,*0.993,0.007
1943,1:normal.,1:normal.,,*0.994,0.006
1944,1:normal.,1:normal.,,*0.994,0.006
1945,1:normal.,1:normal.,,*1,0
1946,1:normal.,1:normal.,,*1,0
1947,1:normal.,1:normal.,,*0.993,0.007
1948,1:normal.,1:normal.,,*0.994,0.006
1949,1:normal.,1:normal.,,*0.995,0.005
1950,1:normal.,1:normal.,,*0.994,0.006
1951,1:normal.,1:normal.,,*0.994,0.006
1952,1:normal.,1:normal.,,*0.993,0.007
1953,1:normal.,1:normal.,,*1,0
1954,1:normal.,1:normal.,,*0.978,0.022
1955,1:normal.,1:normal.,,*1,0
1956,1:normal.,1:normal.,,*0.994,0.006
1957,1:normal.,1:normal.,,*0.999,0.001
1958,1:normal.,1:normal.,,*1,0
1959,1:normal.,1:normal.,,*0.995,0.005
1960,1:normal.,1:normal.,,*0.993,0.007
1961,1:normal.,1:normal.,,*1,0
1962,1:normal.,1:normal.,,*0.988,0.012
1963,1:normal.,1:normal.,,*1,0
1964,1:normal.,1:normal.,,*0.993,0.007
1965,1:normal.,1:normal.,,*1,0
1966,1:normal.,1:normal.,,*1,0
1967,1:normal.,1:normal.,,*0.985,0.015
1968,1:normal.,1:normal.,,*1,0
1969,1:normal.,1:normal.,,*0.994,0.006
1970,1:normal.,1:normal.,,*1,0
1971,1:normal.,1:normal.,,*0.995,0.005
1972,1:normal.,1:normal.,,*1,0
1973,1:normal.,1:normal.,,*1,0
1974,1:normal.,1:normal.,,*0.999,0.001
1975,1:normal.,1:normal.,,*0.993,0.007
1976,1:normal.,1:normal.,,*0.993,0.007
1977,1:normal.,1:normal.,,*0.994,0.006
1978,1:normal.,1:normal.,,*1,0
1979,1:normal.,1:normal.,,*1,0
1980,1:normal.,1:normal.,,*0.993,0.007
1981,1:normal.,1:normal.,,*1,0
1982,1:normal.,1:normal.,,*1,0
1983,1:normal.,1:normal.,,*0.999,0.001
1984,1:normal.,1:normal.,,*1,0
1985,1:normal.,1:normal.,,*0.994,0.006
1986,1:normal.,1:normal.,,*0.995,0.005
1987,1:normal.,1:normal.,,*0.994,0.006
1988,1:normal.,1:normal.,,*1,0
1989,1:normal.,1:normal.,,*0.995,0.005
1990,1:normal.,1:normal.,,*0.993,0.007
1991,1:normal.,1:normal.,,*0.995,0.005
1992,1:normal.,1:normal.,,*0.993,0.007
1993,1:normal.,1:normal.,,*0.993,0.007
1994,1:normal.,1:normal.,,*0.993,0.007
1995,1:normal.,1:normal.,,*0.995,0.005
1996,1:normal.,1:normal.,,*1,0
1997,1:normal.,1:normal.,,*0.993,0.007
1998,1:normal.,1:normal.,,*1,0
1999,1:normal.,1:normal.,,*0.994,0.006
2000,1:normal.,1:normal.,,*1,0
2001,1:normal.,1:normal.,,*0.999,0.001
2002,1:normal.,1:normal.,,*1,0
2003,1:normal.,1:normal.,,*0.994,0.006
2004,1:normal.,1:normal.,,*1,0
2005,1:normal.,2:attack,+,0.337,*0.663
2006,1:normal.,1:normal.,,*0.999,0.001
2007,1:normal.,1:normal.,,*1,0
2008,1:normal.,1:normal.,,*0.993,0.007
2009,1:normal.,1:normal.,,*0.994,0.006
2010,1:normal.,1:normal.,,*0.996,0.004
2011,1:normal.,1:normal.,,*1,0
2012,1:normal.,1:normal.,,*0.993,0.007
2013,1:normal.,1:normal.,,*0.999,0.001
2014,1:normal.,1:normal.,,*0.994,0.006
2015,1:normal.,1:normal.,,*0.994,0.006
2016,1:normal.,1:normal.,,*0.993,0.007
2017,1:normal.,1:normal.,,*1,0
2018,1:normal.,1:normal.,,*0.994,0.006
2019,1:normal.,1:normal.,,*1,0
2020,1:normal.,1:normal.,,*0.995,0.005
2021,1:normal.,1:normal.,,*0.998,0.002
2022,1:normal.,1:normal.,,*0.994,0.006
2023,1:normal.,1:normal.,,*0.994,0.006
2024,1:normal.,1:normal.,,*1,0
2025,1:normal.,1:normal.,,*1,0
2026,1:normal.,1:normal.,,*1,0
2027,1:normal.,1:normal.,,*0.994,0.006
2028,1:normal.,1:normal.,,*0.999,0.001
2029,1:normal.,1:normal.,,*0.999,0.001
2030,1:normal.,1:normal.,,*1,0
2031,1:normal.,1:normal.,,*0.994,0.006
2032,1:normal.,1:normal.,,*1,0
2033,1:normal.,1:normal.,,*0.994,0.006
2034,1:normal.,1:normal.,,*1,0
2035,1:normal.,1:normal.,,*0.997,0.003
2036,1:normal.,1:normal.,,*0.996,0.004
2037,1:normal.,1:normal.,,*0.995,0.005
2038,1:normal.,1:normal.,,*0.995,0.005
2039,1:normal.,1:normal.,,*0.994,0.006
2040,1:normal.,1:normal.,,*0.999,0.001
2041,1:normal.,1:normal.,,*0.994,0.006
2042,1:normal.,1:normal.,,*0.994,0.006
2043,1:normal.,1:normal.,,*0.994,0.006
2044,1:normal.,1:normal.,,*0.993,0.007
2045,1:normal.,1:normal.,,*1,0
2046,1:normal.,1:normal.,,*1,0
2047,1:normal.,1:normal.,,*0.994,0.006
2048,1:normal.,1:normal.,,*0.996,0.004
2049,1:normal.,1:normal.,,*0.993,0.007
2050,1:normal.,1:normal.,,*0.997,0.003
2051,1:normal.,1:normal.,,*0.993,0.007
2052,1:normal.,1:normal.,,*0.999,0.001
2053,1:normal.,1:normal.,,*0.993,0.007
2054,1:normal.,1:normal.,,*1,0
2055,1:normal.,1:normal.,,*0.995,0.005
2056,1:normal.,1:normal.,,*0.93,0.07
2057,1:normal.,1:normal.,,*0.999,0.001
2058,1:normal.,1:normal.,,*0.993,0.007
2059,1:normal.,1:normal.,,*0.999,0.001
2060,1:normal.,1:normal.,,*0.993,0.007
2061,1:normal.,1:normal.,,*0.993,0.007
2062,1:normal.,1:normal.,,*1,0
2063,1:normal.,1:normal.,,*1,0
2064,1:normal.,1:normal.,,*1,0
2065,1:normal.,1:normal.,,*1,0
2066,1:normal.,1:normal.,,*0.993,0.007
2067,1:normal.,1:normal.,,*0.999,0.001
2068,1:normal.,1:normal.,,*1,0
2069,1:normal.,1:normal.,,*0.994,0.006
2070,1:normal.,1:normal.,,*1,0
2071,1:normal.,1:normal.,,*1,0
2072,1:normal.,1:normal.,,*0.994,0.006
2073,1:normal.,1:normal.,,*1,0
2074,1:normal.,1:normal.,,*0.994,0.006
2075,1:normal.,1:normal.,,*0.993,0.007
2076,1:normal.,1:normal.,,*1,0
2077,1:normal.,1:normal.,,*1,0
2078,1:normal.,1:normal.,,*0.995,0.005
2079,1:normal.,1:normal.,,*0.993,0.007
2080,1:normal.,1:normal.,,*0.993,0.007
2081,1:normal.,1:normal.,,*1,0
2082,1:normal.,1:normal.,,*0.994,0.006
2083,1:normal.,1:normal.,,*0.999,0.001
2084,1:normal.,1:normal.,,*0.993,0.007
2085,1:normal.,1:normal.,,*0.997,0.003
2086,1:normal.,1:normal.,,*1,0
2087,1:normal.,1:normal.,,*0.993,0.007
2088,1:normal.,1:normal.,,*1,0
2089,1:normal.,1:normal.,,*1,0
2090,1:normal.,1:normal.,,*1,0
2091,1:normal.,1:normal.,,*1,0
2092,1:normal.,1:normal.,,*0.994,0.006
2093,1:normal.,1:normal.,,*1,0
2094,1:normal.,1:normal.,,*1,0
2095,1:normal.,1:normal.,,*0.997,0.003
2096,1:normal.,1:normal.,,*0.997,0.003
2097,1:normal.,1:normal.,,*0.994,0.006
2098,1:normal.,1:normal.,,*0.993,0.007
2099,1:normal.,1:normal.,,*0.994,0.006
2100,1:normal.,1:normal.,,*0.994,0.006
2101,1:normal.,1:normal.,,*0.994,0.006
2102,1:normal.,1:normal.,,*0.994,0.006
2103,1:normal.,1:normal.,,*0.992,0.008
2104,1:normal.,1:normal.,,*1,0
2105,1:normal.,1:normal.,,*0.993,0.007
2106,1:normal.,1:normal.,,*1,0
2107,1:normal.,1:normal.,,*0.993,0.007
2108,1:normal.,1:normal.,,*0.993,0.007
2109,1:normal.,1:normal.,,*0.994,0.006
2110,1:normal.,1:normal.,,*0.994,0.006
2111,1:normal.,1:normal.,,*1,0
2112,1:normal.,1:normal.,,*0.994,0.006
2113,1:normal.,1:normal.,,*0.994,0.006
2114,1:normal.,1:normal.,,*0.999,0.001
2115,1:normal.,1:normal.,,*1,0
2116,1:normal.,1:normal.,,*1,0
2117,1:normal.,1:normal.,,*0.993,0.007
2118,1:normal.,1:normal.,,*0.996,0.004
2119,1:normal.,1:normal.,,*1,0
2120,1:normal.,1:normal.,,*1,0
2121,1:normal.,1:normal.,,*1,0
2122,1:normal.,1:normal.,,*0.997,0.003
2123,1:normal.,1:normal.,,*0.995,0.005
2124,1:normal.,1:normal.,,*0.994,0.006
2125,1:normal.,1:normal.,,*0.996,0.004
2126,1:normal.,1:normal.,,*0.993,0.007
2127,1:normal.,1:normal.,,*0.995,0.005
2128,1:normal.,1:normal.,,*0.998,0.002
2129,1:normal.,1:normal.,,*0.995,0.005
2130,1:normal.,1:normal.,,*1,0
2131,1:normal.,1:normal.,,*1,0
2132,1:normal.,1:normal.,,*0.994,0.006
2133,1:normal.,1:normal.,,*0.994,0.006
2134,1:normal.,1:normal.,,*1,0
2135,1:normal.,1:normal.,,*0.994,0.006
2136,1:normal.,1:normal.,,*0.999,0.001
2137,1:normal.,1:normal.,,*1,0
2138,1:normal.,1:normal.,,*0.994,0.006
2139,1:normal.,1:normal.,,*0.993,0.007
2140,1:normal.,1:normal.,,*0.999,0.001
2141,1:normal.,1:normal.,,*1,0
2142,1:normal.,1:normal.,,*0.995,0.005
2143,1:normal.,1:normal.,,*1,0
2144,1:normal.,1:normal.,,*0.995,0.005
2145,1:normal.,1:normal.,,*1,0
2146,1:normal.,1:normal.,,*0.999,0.001
2147,1:normal.,1:normal.,,*1,0
2148,1:normal.,1:normal.,,*0.943,0.057
2149,1:normal.,1:normal.,,*0.993,0.007
2150,1:normal.,1:normal.,,*1,0
2151,1:normal.,1:normal.,,*1,0
2152,1:normal.,1:normal.,,*0.995,0.005
2153,1:normal.,1:normal.,,*1,0
2154,1:normal.,1:normal.,,*0.994,0.006
2155,1:normal.,1:normal.,,*0.994,0.006
2156,1:normal.,1:normal.,,*0.994,0.006
2157,1:normal.,1:normal.,,*0.993,0.007
2158,1:normal.,1:normal.,,*1,0
2159,1:normal.,1:normal.,,*0.999,0.001
2160,1:normal.,1:normal.,,*0.997,0.003
2161,1:normal.,1:normal.,,*0.993,0.007
2162,1:normal.,1:normal.,,*0.993,0.007
2163,1:normal.,1:normal.,,*1,0
2164,1:normal.,1:normal.,,*0.994,0.006
2165,1:normal.,1:normal.,,*0.994,0.006
2166,1:normal.,1:normal.,,*1,0
2167,1:normal.,1:normal.,,*0.994,0.006
2168,1:normal.,1:normal.,,*0.995,0.005
2169,1:normal.,1:normal.,,*0.994,0.006
2170,1:normal.,1:normal.,,*0.998,0.002
2171,1:normal.,1:normal.,,*0.998,0.002
2172,1:normal.,1:normal.,,*0.996,0.004
2173,1:normal.,1:normal.,,*0.999,0.001
2174,1:normal.,1:normal.,,*1,0
2175,1:normal.,1:normal.,,*0.994,0.006
2176,1:normal.,1:normal.,,*1,0
2177,1:normal.,1:normal.,,*1,0
2178,1:normal.,1:normal.,,*0.994,0.006
2179,1:normal.,1:normal.,,*1,0
2180,1:normal.,1:normal.,,*0.999,0.001
2181,1:normal.,1:normal.,,*0.993,0.007
2182,1:normal.,1:normal.,,*1,0
2183,1:normal.,1:normal.,,*1,0
2184,1:normal.,1:normal.,,*1,0
2185,1:normal.,1:normal.,,*0.997,0.003
2186,1:normal.,1:normal.,,*1,0
2187,1:normal.,1:normal.,,*1,0
2188,1:normal.,1:normal.,,*0.994,0.006
2189,1:normal.,1:normal.,,*0.993,0.007
2190,1:normal.,1:normal.,,*0.994,0.006
2191,1:normal.,1:normal.,,*0.997,0.003
2192,1:normal.,1:normal.,,*1,0
2193,1:normal.,1:normal.,,*0.993,0.007
2194,1:normal.,1:normal.,,*0.993,0.007
2195,1:normal.,1:normal.,,*0.997,0.003
2196,1:normal.,1:normal.,,*0.995,0.005
2197,1:normal.,1:normal.,,*0.994,0.006
2198,1:normal.,1:normal.,,*1,0
2199,1:normal.,1:normal.,,*1,0
2200,1:normal.,1:normal.,,*1,0
